indicador_id,nombre,periodo,valor
1003000017,Viviendas particulares habitadas,1995,18054384.0
1003000017,Viviendas particulares habitadas,2000,20445525.0
1003000017,Viviendas particulares habitadas,2005,23194511.0
1003000017,Viviendas particulares habitadas,2010,27515030.0
1003000017,Viviendas particulares habitadas,2020,34805976.0
1003000024,Viviendas particulares habitadas que disponen de computadora,2000,2011425.0
1003000024,Viviendas particulares habitadas que disponen de computadora,2005,4694927.0
1003000024,Viviendas particulares habitadas que disponen de computadora,2010,8279619.0
1003000024,Viviendas particulares habitadas que disponen de computadora,2020,13204680.0
3114006001,Porcentaje de viviendas con electricidad,2010,97.8
3114006001,Porcentaje de viviendas con electricidad,2015,98.720258
3114006001,Porcentaje de viviendas con electricidad,2020,99.0018430807474
6207019042,Porcentaje de viviendas particulares habitadas que disponen de Internet,2015,32.945773
6207019042,Porcentaje de viviendas particulares habitadas que disponen de Internet,2020,52.0728350969086
6207019046,Porcentaje de viviendas particulares habitadas que disponen de computadora,2015,32.639473
6207019046,Porcentaje de viviendas particulares habitadas que disponen de computadora,2020,37.5592874422336
6207019052,Porcentaje de viviendas particulares habitadas que disponen de pantalla plana,2015,44.952378
6207019055,Porcentaje de viviendas particulares habitadas que disponen de teléfono celular,2015,78.587419
6207019055,Porcentaje de viviendas particulares habitadas que disponen de teléfono celular,2020,87.5387210651725
